N,Ст.№,Състезател,Отбор,Мотор,Общо,Кърнаре 29-30/3 Нв,Стзагора 12-13/4 Нв,Бухово 3-4/5 Нв,ГМалина 17-18/5 Нв,Дамасцена 14-15/6 Нв,SDCi 10-11/08 Нв,Кирково 08-09/11 Нв
16,118,Петър БЕНЧЕВ,МСК ЕНДУРО ЕКСТРИЙМ БОТЕВ,Gas gas ec300,52,0,8,0,13,14,12,
17,100,Теодор КРЪСТЕВ,ЕНДУРО КЛУБ СЕВТОПОЛИС,GAS GAS 300,39,,5,9,0,,,7
18,117,Димитър ХРИСТОВ,МСК ХАРД РАЙДЪРС,husaberg te300,37,0,0,,,9,,16
19,567,Георги ВЕСКОВ,МОТО ДРУЖИНА БАНСКО,Ktm exc 300,35,,0,0,0,8,6,6
20,804,Александър КРЪШНЯК,МСК НСА МОТОРСПОРТ,gasgas EC300,29,0,,8,3,10,0,8
21,171,Георги ПЕТРОВ,МСК ПРЕПАРАТОРИТЕ,Gas Gas Ec 300,28,,,,,,,22
22,327,Борислав БОЖИЛОВ,СК БУЛДОК РОКЕТС,GasGas Ec300,27,,,,,5,4,11
23,203,Веско ПАСПАЛЕВ,НК ЕНДУРО ВИКТОРИ,Ktm 300,26,0,3,12,8,0,,
24,111,Синан СЕИДОВ,МСК ХАРД РАЙДЪРС,husaberg Te300i,26,0,0,0,7,4,9,
25,180,Николай СЛАВОВ,НК ЕНДУРО ВИКТОРИ,KTM 300 EXC,26,6,4,,11,,,
26,14,Георги ПЕТКОВ,МСК ХАРД РАЙДЪРС,KTM EXC 300,26,0,0,0,,7,10,9
27,862,Иво ГЕОРГИЕВ,СК БУЛДОК РОКЕТС,GAS GAS ec 300,19,4,0,0,1,3,7,4
28,295,Румен ЙОРДАНОВ,МСК ХАРД РАЙДЪРС,KTM 300 EXC,17,5,0,0,10,,,
29,421,Даниел СЛАВКОВ,СК КЪРТАЧИТЕ,Gas Gas 300,17,10,0,,,,,
30,41,Георги Георгиев,МСК РИСК ГАБРОВО,Ktm 300,17,,,,,,,
31,31,Христо МИХОВ,МСК ХАРД РАЙДЪРС,KTM 300,13,8,,0,0,,,
32,183,Иван ТОДОРОВ,МСК ХАРД РАЙДЪРС,Husqvarna TE 300,12,,,0,0,,,8
33,22,Павел ГЕОРГИЕВ,МСК РИСК ГАБРОВО,Beta,12,,6,,,,,
34,177,Николай ФИЛЧЕВ,МСК ЕКС ЕНДУРО КЪРНАРЕ,KTM 350,12,,,,,,,
35,84,Мартин ИВАНОВ,МСК ХАРД РАЙДЪРС,Husqvarna,10,0,0,0,2,0,0,5
36,771,Марио ЧАНГАЛОВ,ЕНДУРО КЛУБ КОРНИЦА,KTM 300 EXC,6,0,0,0,6,0,,
37,226,Иван ИВАНОВ,МСК ЕНДУРО ЕКСТРИЙМ БОТЕВ,KTM 300 EXC,5,,,,0,,,
38,18,Павел Цацов,МСК ЕКСТРИЙМ ЕНДУРО КРУПН,Husqvarna TE300,5,0,0,0,,2,,2
39,51,Марио ЗАРОВ,МСК ХАРД РАЙДЪРС,GAS GAS ec 300,5,3,0,,,,,
40,11,Светлин ИВАНОВ,МСК БС РЕЙСИНГ ТИЙМ,Husqvarna TX300,5,,,,,,5,
41,2,Калоан ЯНКОВ,МСК ЕКС ЕНДУРО КЪРНАРЕ,KTM,4,0,,,,,4,
42,240,Йосиф ХРИСТОВ,МСК РИСК ГАБРОВО,Husqvarna Te 300,3,,,,3,,0,
43,26,Георги ТОПАЛОВ,МСК ХАРД РАЙДЪРС,Husqvarna 300i TPI,3,,,,0,,,3
44,570,Гечо ГЕЧОВ,МСК ЕНДУРО ЕКСТРИЙМ БОТЕВ,Husqvarna,2,,,,,,,
45,705,Кристиан БЕЛЧЕВ,АЛБА ДАМАСЦЕНА МСК,beta 300,2,,,,,,,2
46,222,Борислав ВЕЛИКОВ,МСК ЕКСТРИЙМ ЕНДУРО КРУПН,KTM EXC 300,1,0,0,0,,0,0,0
47,201,Иван ХРИСТОВ,МОТО ДРУЖИНА БАНСКО,GASGAS EC300i,1,1,0,0,,,,
48,737,Ивайло СЛАВОВ,ЕК ЛУДА РАБОТА,Husqvarna TE 300,1,,0,,,,1,
49,918,Ивайло СИВИНОВ,МСК ПРЕПАРАТОРИТЕ,Rieju MR300 pro,1,,,,,,0,1
50,44,Стефан ДЕЙЧЕВ,МСК ХАРД РАЙДЪРС,husqvarna te 300,0,0,0,0,,,,
51,257,Николай НИКОЛАЕВ,МСК ЕНДУРО ЕКСТРИЙМ БОТЕВ,GAS GAS EC 300 GP,0,0,0,0,,,,
52,27,Методи ТРЕНЧЕВ,МСК ЕКСТРИЙМ ЕНДУРО КРУПН,Husqvarna TE300,0,0,0,,0,0,,0
53,600,Илиян ГЕЧОВ,МСК ЕНДУРО ЕКСТРИЙМ БОТЕВ,KTM 300 tpi,0,0,,,,,,
54,211,Стефан БРАТОВ,МСК РИСК ГАБРОВО,Husqvarna Te 300,0,,0,,,,0,
55,157,Адриан МИШЕВ,СК ЕКСТРИЙМ РЕЙСИНГ,KTM EXC 300,0,,0,0,,,,
56,47,Ангел ТРАНДОВ,МСК ХАРД РАЙДЪРС,KTM EXC 350,0,0,0,,,,,
57,231,Пламен ВЪЛЧАНОВ,МСК ЕКС ЕНДУРО КЪРНАРЕ,Gas Gas EC300,0,,0,,,,,
58,660,Валентин АРАБОВ,СК АФГ ТИМ,KTM 660 SMC,0,,,,,,,0
59,980,Славчо ШОПОВ,МОТО ДРУЖИНА БАНСКО,Gas Gas,0,,,0,,,,
60,696,Стефан ДЖИНГАРОВ,ЕК ГОЦЕ ДЕЛЧЕВ,Husqvarna te 300i,0,,0,0,,,,
61,218,Николай НЕДЯЛКОВ,МОТОЦИКЛЕТЕН КЛУБ БОЛЯРИ,,0,,0,,,,,
62,681,Кирил ЧАПОВ,СК ЕКСТРИЙМ РЕЙСИНГ,Ktm 300 exc,0,,,0,,,,
63,181,Мирослав МАРЧЕВ,МСК ЕКСТРИЙМ ЕНДУРО КРУПН,Husqvarna TE 300,0,,,0,,,0,
64,374,Станислав МИКОВ,МСК АЕРОТЕХНИК БГ 2023 ЕОО,KTM EXC 300TPI,0,,,,0,,,
65,966,Марио МИЛЕНКОВ,МСК ЕНДУРО КИОСТЕНДИЛ,HUSQVARNA TE300,0,,,,,,0,0
66,982,Дениз ДЖАИТ,СК ЕКСТРИЙМ РЕЙСИНГ,Husqvarna TE 300,0,,,0,,,,
67,205,Красимир ИВАНОВ,МСК ЕНДУРО КИОСТЕНДИЛ,Ktm exc 300,0,,,,,,,0
68,878,Ален МИРЧЕВ,МСК ЕНДУРО КИОСТЕНДИЛ,KTM EXC300 TBi,0,,,,,,,0
69,246,Иван ПЕТРОВ,МСК ЕНДУРО ЕКСТРИЙМ БОТЕВ,KTM EXC 300,0,,,,0,,,
70,39,Илиян МАНОЛОВ,МСК ХАРД РАЙДЪРС,,0,,,,,,,0
71,357,Адриан ЙОРДАНОВ,МСК ЕНДУРО КИОСТЕНДИЛ,KTM 300 EXC,0,,,,,,,0
